song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP001,Mother building well.,Shannon Moore,Process if.,Electronic,12/11/2002,161,81,77988216,English,No,Universal Music,Barbara Castaneda,Michael Williams,Michael Ingram
SP002,Large stock buy oil.,Holly Mitchell,Management artist.,Electronic,24/03/2010,280,85,90028790,English,Yes,Sony Music,Kristin Martinez,Theresa Calhoun,Christopher Ramirez
SP003,Country real.,Kimberly Bernard,Success investment.,Pop,03/10/1996,173,94,98263763,Japanese,No,Sony Music,Peter Griffith,Helen Sims,Joseph Weaver
SP004,Not start.,Alison Douglas,Trip international.,Electronic,18/06/2023,173,80,429348,English,Yes,Sony Music,Susan Montoya,Matthew Anderson,Samantha Shepherd
SP005,Consumer.,Patrick Bass,Again.,Pop,08/02/2016,273,43,88413255,English,Yes,Sony Music,Ashley Rivera,Jennifer Mcgee PhD,Chad Jones
SP006,Boy red.,Jennifer Matthews,Year hard.,Jazz,12/07/2012,186,38,70985364,English,No,Indie,Heather Ortiz,Michelle Rivera,Angelica Hernandez
SP007,Edge yes.,Mr. Thomas Mullins PhD,Determine.,Country,24/11/2008,188,75,75780954,German,No,Atlantic Records,Kevin Jennings,Sean Harrell,Jerry Wilson
SP008,Fact cell wall tend.,Nicole Dunn,Film peace.,Jazz,28/11/2012,288,72,72331654,English,Yes,Warner Music,William Snyder,Mary Clark,Judy Schwartz
SP009,Cultural still building.,Brandon Watson,Next describe.,Electronic,18/06/2019,194,95,61091790,German,No,Universal Music,John Anderson MD,Jason Ruiz,Kim Lewis
SP010,Attack office.,Sandra Cabrera,Glass tell.,Hip-Hop,12/06/2021,201,39,6393734,English,Yes,Def Jam,Cory Padilla,John Johnson,Lisa Lucas
SP011,Accept quickly.,Wanda Thompson,Feel thousand.,Electronic,16/03/2007,194,44,29675027,English,Yes,Def Jam,Mark Kane,Paul Collins,Deanna Mitchell
SP012,Nice sign.,Patrick Wells,Opportunity base.,Hip-Hop,09/11/2023,223,43,19552905,English,No,Universal Music,Erica Long,Jessica Vega,Jorge Caldwell
SP013,By kid.,Sean Wilson,Four.,Pop,14/08/2006,150,18,26542387,English,Yes,Sony Music,Reginald Herrera,Stacie Peterson,Rebecca Cruz
SP014,Dream chance.,Emma Moon,Loss ability.,Electronic,08/02/1995,268,23,21637443,Spanish,No,Warner Music,Tonya Curtis,Heather Hill,Kimberly Murphy
SP015,Behavior give include.,Mark Hall,Method.,Folk,20/03/1998,299,45,17378187,Spanish,Yes,Indie,Brian Mcneil,Brian Wong,Marcia Lindsey
SP016,Play firm thought whom.,Felicia Singh,Travel.,Hip-Hop,03/10/2024,243,73,18399148,Korean,No,Sony Music,Matthew Orr,Bethany Fleming PhD,Amanda Wells
SP017,Brother old include.,Janice Parker,Old.,Hip-Hop,24/06/2004,316,71,39996865,Spanish,Yes,Warner Music,Wanda Chen,Sandy Rodriguez,Dana Young
SP018,Produce television.,Charles Franco,Against discover.,Electronic,18/04/2020,159,58,92061269,English,Yes,Warner Music,Janet Mcdowell,Stefanie Jones,Crystal Patterson
SP019,Drop here.,William Torres,Reduce.,Electronic,14/08/2011,241,86,92470565,English,No,Atlantic Records,Regina Garrett,Justin Jones,Ryan Bond
SP020,Pass customer newspaper.,Daniel Johnson,Art big.,Hip-Hop,29/11/2019,196,31,13460853,English,Yes,Def Jam,Rachel Dunn,Anna Chapman,Michelle Brooks
SP021,By actually lay.,Douglas Bean,Real southern.,Pop,06/11/2017,207,48,48948383,English,Yes,Warner Music,Eduardo Jackson Jr.,Sarah Vance,Jorge Scott
SP022,Growth radio.,Jack Jackson,Method.,Pop,28/05/1999,263,69,82127709,Spanish,No,Def Jam,Cody Adams,Eric Tyler,Steven Burns
SP023,Every light how human.,Eric Baker,Past.,Pop,27/09/2014,158,100,42662587,English,Yes,Sony Music,Erin Watson,Alexander Kim,Ann Michael
SP024,Why they.,Joseph Dudley,Wear.,Hip-Hop,31/10/2010,247,65,70582557,English,No,Sony Music,Christine Walton,Nathan Brown,Shawna Rogers
SP025,Skin manage sound.,Anna Reed,Per watch.,Hip-Hop,01/10/2004,259,51,43030083,English,No,Sony Music,Patrick Reynolds,Sarah Cantu,Brianna Clayton
SP026,Dinner various finally.,Melissa Kerr,Hair education.,Folk,03/10/2019,250,90,4516034,Japanese,Yes,Warner Music,Eduardo King MD,Christina Greene,Vickie Stephens
SP027,Order break family.,Christopher Warren,Hot.,Electronic,01/09/2014,136,45,97149186,Spanish,No,Sony Music,Crystal Reynolds,Jeffery Case,Anthony Middleton
SP028,Learn public account.,Brian Rogers,Require.,Hip-Hop,04/05/2010,238,67,98604815,German,Yes,Sony Music,Chelsea Davis,Douglas Neal,Jacqueline Wang
SP029,Hospital skin.,Ashley Vega,Knowledge.,Pop,03/04/2015,217,88,43543378,English,Yes,Indie,Stephen Hamilton,Joseph Miller,Laura Torres
SP030,Grow relationship generation.,Melissa Jenkins,Begin.,Electronic,06/02/2001,231,13,10686803,French,No,Indie,Jessica Rojas,Jamie Davis,Michael Fox
SP031,Attorney they.,Cindy Hunt DDS,Address perhaps.,Hip-Hop,28/07/1995,275,54,35548482,Korean,No,Warner Music,Mary Medina,Kara Wells,Angela Aguilar
SP032,Thank.,Kayla Campos DDS,Run school.,Classical,08/04/2024,295,64,22869748,German,No,Sony Music,Makayla Richardson,Shannon Mcneil,Samuel Fisher
SP033,Money use.,Kevin Ford,Investment near.,Hip-Hop,21/09/2009,230,66,46593516,English,No,Sony Music,Nicole Mercado,Cynthia Anderson,Scott Gibson DDS
SP034,Adult.,Erin Ware,Believe experience.,Hip-Hop,13/04/2020,257,46,61229551,English,Yes,Sony Music,Nicholas Carlson,Kayla Walsh,James Robertson
SP035,Throughout use meet.,Jason Robbins,Mind.,Jazz,29/09/2005,258,6,95623479,English,No,Indie,Charlene Morales,Daniel Callahan,Michael Lewis
SP036,Smile quite.,Ronald Murphy,Natural interesting.,Hip-Hop,24/02/2021,240,24,46308044,English,Yes,Universal Music,Nancy Nelson,Erin Fox,Brian Hill
SP037,Down ability.,Paige Smith,Too.,Pop,04/11/2023,246,46,53356430,English,Yes,Indie,Cameron Foster,Michael Rice,Carrie Scott
SP038,Financial important land.,Tammy Weaver,Like.,Country,25/12/2005,244,20,93253297,English,Yes,Atlantic Records,Katherine Riley,Donna Wilson,John Avila
SP039,Sea activity chair.,Robert Ramirez,Detail decision.,Electronic,27/05/1995,190,82,3980519,German,Yes,Indie,Jose Pollard,Wendy Kelley,Christine Kelly
SP040,Begin rest share.,Nathaniel Porter,Mission enjoy.,Pop,27/09/2006,224,35,11762265,English,Yes,Indie,Mary Guzman,Chelsey Smith,Julie Murphy
SP041,Whole probably hour.,Scott Hart,Medical.,Pop,12/03/2000,243,100,79997877,English,No,Def Jam,Angela Reynolds,Regina Roth,Joseph Gordon
SP042,Learn situation west.,Elizabeth Garcia,Instead tell.,Classical,16/01/2013,302,96,42141496,English,Yes,Warner Music,Scott Smith,Michael Farley,Maria Hebert
SP043,Remain detail result.,Pam Harris,Including.,Hip-Hop,16/05/2012,177,91,7943592,English,No,Warner Music,Mary Perez,William Hodges,Dawn Peters
SP044,Prevent during officer purpose.,Renee Sullivan,Ago.,Pop,19/05/2002,283,99,97797749,English,No,Def Jam,Megan Small,Brent Peterson,Dr. Victoria Carr
SP045,New general.,Nathan Hicks,Expert.,Hip-Hop,03/04/2023,241,70,6804139,English,Yes,Universal Music,Mikayla Hood,William Anderson MD,Shawna Bauer
SP046,Individual scientist image avoid.,Tony Jenkins,Others.,Pop,28/12/2004,141,41,93897760,English,No,Sony Music,Brian Mcdonald MD,Shelly Flores,Dillon Thomas
SP047,Professional.,Brett Bush,Both reduce.,Classical,02/08/2020,277,96,3539351,English,Yes,Def Jam,Aaron Harris,Nicholas Tapia,Darren Zuniga
SP048,Face herself finally.,Julie Lopez,Help.,Electronic,19/04/2021,193,44,62724385,English,Yes,Def Jam,Christie Diaz,Robert Valdez,John Hall
SP049,Measure analysis according catch.,Lisa Scott,Here fund.,Pop,21/07/1996,249,13,46036599,English,Yes,Atlantic Records,Nicholas Hodges,John Espinoza,David Ford
SP050,Heavy we media.,Joe Bradley,Thing guy.,Hip-Hop,25/06/2003,249,100,66625347,English,Yes,Def Jam,Joseph Brown,Brandi Paul,Carrie Jones
SP051,Federal approach receive.,Paul Underwood,Mean.,Hip-Hop,23/02/2014,305,85,59942811,English,No,Universal Music,Clayton Ramirez,Christopher Cooper,Michael Bennett
SP052,Off page understand.,Amanda Vega,Tv structure.,Electronic,31/07/2000,244,30,44573354,Japanese,Yes,Atlantic Records,Ashley Bradley,Tyler Underwood,Scott Frye
SP053,From start.,Joseph Roberts,Offer.,Hip-Hop,28/01/2024,230,37,32612758,English,No,Indie,Kristi Rodriguez,Anthony Gonzalez,Billy Padilla
SP054,Happy always popular research.,Jeremy Gomez,Ten.,Pop,19/04/2001,234,71,66976425,English,No,Indie,Kathryn Mendoza,Michael Lopez,Melissa Griffith
SP055,Blood list true.,Melanie Salas,Seek.,Pop,28/06/2003,335,38,58374327,Korean,Yes,Universal Music,Dawn Riley,Brenda Humphrey,Kerry Taylor
SP056,Far attorney.,Marcus Chavez,Budget popular.,Electronic,06/02/2011,212,9,4041451,French,No,Indie,Ms. Cheryl Carter MD,Julie Hobbs,Jeffrey Bernard
SP057,Strategy ready produce.,Susan Gomez,Actually month.,Jazz,17/03/2012,232,17,18197789,English,No,Sony Music,Jeanette Brown,Sarah Goodwin,Mrs. Lisa Smith
SP058,Leg cost glass.,Chelsea Simpson,Him road.,Pop,09/05/1995,317,8,67606446,Spanish,Yes,Def Jam,Leah Morgan,Keith Harrington,Valerie Kim
SP059,Suggest everybody cup.,Marissa Osborn,Weight.,Electronic,25/08/2020,181,63,94580267,Japanese,Yes,Warner Music,Gwendolyn Jackson,Matthew Thompson,Erica Harper
SP060,Everything population.,Courtney Jones,Mrs game.,Pop,23/01/2004,247,85,22175453,Italian,Yes,Universal Music,Colton Anderson,Michele Lee,Tracey Smith
SP061,Prepare fast.,Lisa Calhoun,To.,Folk,06/06/2001,327,9,87120937,Korean,Yes,Def Jam,Michael Cooper,Gregory Johnson,Gregg Brown
SP062,Someone keep.,Justin Williams,Newspaper professional.,Pop,09/09/2003,267,68,72134294,Italian,No,Def Jam,Margaret Owen,Brian Stewart,Kayla Jenkins
SP063,Guy source.,Lynn Williams,Attorney.,Jazz,30/05/1996,300,57,36340850,English,No,Atlantic Records,James Bonilla,Lisa Smith,Nicholas Haynes
SP064,Difference adult raise.,Jennifer Owens,Science land.,Hip-Hop,23/10/2013,268,87,66063273,Spanish,No,Sony Music,Nancy King,Dorothy Sanders,Gregory Thomas
SP065,Dinner shake.,Travis Hansen,Of.,Hip-Hop,08/05/2012,248,49,187905,English,No,Def Jam,Alexander Chang,Shawn Caldwell,Angel Zimmerman
SP066,Fund toward third.,Amy Greene,Daughter.,Pop,10/07/2013,213,8,53231348,French,Yes,Warner Music,Christopher Larson,Scott Torres,Andrew Cook
SP067,Significant apply billion.,David Byrd,Mind pass.,Pop,08/06/2000,274,12,35300475,English,No,Universal Music,Mike Brown,Troy Williams,Sherry Perez
SP068,Evidence effect little.,Anthony Soto,Newspaper run.,Jazz,27/04/1998,243,86,10792382,English,No,Indie,Noah Riley,Thomas Schmidt,Michelle Ortiz
SP069,Prevent.,Matthew Anderson,Culture thus.,Pop,19/08/2015,206,94,90671534,Italian,No,Atlantic Records,Derek Martin,Jill Hopkins,Jim Walker
SP070,Base visit.,Janet Carpenter,Baby.,Hip-Hop,11/07/2010,250,91,39824825,English,No,Sony Music,Christopher Williams,Vanessa Wilson,Richard Valencia
SP071,Situation expert education.,Jonathan Smith,Outside save.,Pop,13/03/2014,259,20,25919374,English,Yes,Warner Music,Craig Brooks,Parker Blackwell,Kevin Miles
SP072,Analysis arrive.,Alex Khan,Development bar.,Electronic,03/08/2007,240,21,63095797,English,Yes,Atlantic Records,Margaret Guerra,Carlos Walter,Pamela Stein
SP073,Visit husband far.,Richard Glenn,Represent blood.,Electronic,18/12/2012,219,75,36583435,Italian,Yes,Atlantic Records,Dawn Martinez,Paul Fisher,Michelle Richardson
SP074,These music short.,Ryan Smith,Population.,Hip-Hop,09/12/2020,260,89,49557084,English,No,Indie,Christopher Strickland,Susan Lucas,Nichole Graham
SP075,Win size us.,Brian Waters,Author draw.,Hip-Hop,15/05/2002,198,48,14981153,English,No,Def Jam,Amy Pierce,Debra Clark,Jacqueline Shepherd
SP076,Quality public social.,Amy Johnson,Night.,Electronic,30/03/2002,215,19,83859124,English,Yes,Atlantic Records,Andrea Miller MD,Angie Jackson,Amanda Jones
SP077,Politics scene value.,Michael Miller,Team knowledge.,Pop,27/08/1995,304,71,57570624,Spanish,Yes,Sony Music,Tyler Keller,Lisa Johnson,Wendy Scott
SP078,Staff draw.,Angela Valenzuela,Sit.,R&B,08/11/2003,247,95,33344922,Korean,No,Atlantic Records,Mark Smith,Nancy Parker,Robert Jacobson
SP079,Recent identify.,Matthew Silva,Get.,Folk,13/02/2004,223,97,59633804,English,Yes,Sony Music,Crystal Sanders,Melissa Sanchez,James Kelly
SP080,Fill fly.,Nathaniel Davis,Bring kind.,Jazz,09/01/2013,243,76,25983055,English,No,Atlantic Records,Courtney Avery,Sarah Chaney,Paul Baker
SP081,Store then game.,Elaine Mccormick,Support director.,Electronic,15/02/2002,245,2,36089226,English,Yes,Def Jam,Christine Cruz,Cody Johnson,Melanie Evans
SP082,Offer.,Nancy King,Range certainly.,Hip-Hop,16/02/1996,205,43,22556692,Spanish,Yes,Sony Music,Jessica Ray,James Wise,Cynthia West
SP083,Late detail song.,Michael Thomas,Final.,Hip-Hop,09/05/2005,329,33,14127807,German,No,Universal Music,Scott Walters,Mario Salazar,Nicole Thomas
SP084,Prove.,Karen Jensen,Manage.,Electronic,05/06/2010,194,43,63490532,English,No,Warner Music,Laura Lewis,David Quinn DDS,John Carroll
SP085,Fire.,Omar Lopez,Little.,Pop,17/03/2014,214,98,38436228,English,Yes,Universal Music,Mark Jackson,Matthew Martin,John Kennedy
SP086,Specific network floor.,Tammy Clements,Will.,Hip-Hop,01/04/2001,243,36,20870876,Spanish,No,Atlantic Records,Mitchell Johnson,Karen Gonzalez,Tonya Dickerson
SP087,Word become dream.,Jeremy Sullivan,North value.,Classical,13/05/2012,221,83,18498894,Spanish,No,Def Jam,Omar Sandoval,Laura Stevens,Daniel Stevens
SP088,Model available government.,Matthew Jackson,Book.,Pop,14/06/2014,316,83,95954779,English,Yes,Atlantic Records,Olivia Lucas,John Buchanan,Stephen Hicks
SP089,Hope age help.,Caitlyn Nelson,Democratic.,Classical,25/07/2002,277,21,57366276,English,No,Atlantic Records,Brandon Roy,Virginia Rivera,Haley Perkins
SP090,To treat.,Gina Miller,Sport early.,Electronic,16/03/2015,196,92,94097318,English,Yes,Indie,Kelly Howard,Ricky Cameron,Kyle White
SP091,Step determine.,Maria Carter,There.,Pop,18/01/2008,277,74,53439749,English,No,Warner Music,William Taylor,Jeremy Olson,Joseph Sanders
SP092,Until with force.,Teresa Joseph DVM,Many.,Pop,01/05/2003,217,27,92085946,Spanish,Yes,Universal Music,Krystal Turner,Patrick Murphy DVM,Rachel Sandoval
SP093,Them young hair.,Roy Walker,Sing main.,Electronic,21/11/2012,138,84,80418084,Korean,No,Universal Music,Gabriella Long,Daniel Alexander,Alex Graham
SP094,Very become.,Olivia Perkins,Wrong expert.,Hip-Hop,22/02/2007,208,25,35307742,English,No,Atlantic Records,Pamela Gray,Scott Martinez,Deborah Vazquez
SP095,Authority money check.,Andrea Brown,Success.,Pop,23/01/2000,229,29,25671141,English,Yes,Warner Music,Daniel Fowler,Kathy Pennington,Stephanie Craig
SP096,Serious if anything.,Bradley Clark,Drug story.,Hip-Hop,14/10/1996,266,43,74010844,English,Yes,Atlantic Records,Megan Mendez,Crystal Roberts,Nathaniel Miller
SP097,Box energy much.,Lauren Cook,Today.,Electronic,16/05/2002,190,63,75956725,Spanish,Yes,Sony Music,Timothy Brown,Anthony Shaw,Jody Collins
SP098,Tough they.,Sheryl Barnes,Enter certain.,Pop,06/05/2001,283,78,85570143,German,Yes,Sony Music,Mary Waller,Taylor Wright,Joshua Lee
SP099,Almost exactly write.,Christopher Knight,Tend customer.,Pop,22/07/2019,314,19,28508723,English,No,Indie,Patrick Diaz,Anthony Farley,Stacey Powell
SP100,Need service grow.,Kenneth Rivers,Over.,Pop,20/04/1996,84,37,39178858,German,No,Universal Music,Garrett Henderson,Krista Pena,Stacy Flynn
SP101,Better reflect decide pressure.,Matthew Wright,The skill.,Jazz,27/10/2019,337,52,72962124,English,No,Sony Music,Aaron Wheeler,Nancy Hinton,Teresa Jones
SP102,Hot machine.,Jennifer Norris,Political.,Classical,09/03/2006,298,70,92783673,English,Yes,Def Jam,Jennifer Williams,Michelle Wilson,Lindsay Perry
SP103,Movie see.,John Calhoun,Worker every.,Hip-Hop,01/09/2022,216,68,10787020,Spanish,No,Universal Music,Denise King,Zachary Johns,Shannon Grant
SP104,Situation information.,Kevin Weber,Continue nearly.,Hip-Hop,30/11/2016,260,90,51718713,Spanish,Yes,Indie,Sarah Blackburn,Erica Patel,David Wells
SP105,Say property that conference.,Leslie Smith,Power.,Electronic,18/01/1997,192,1,1012104,Spanish,No,Atlantic Records,Jonathan Morris,Christina Davis,Timothy Chandler
SP106,Factor body agree.,Kayla Thompson,Fish religious.,Jazz,06/06/2008,193,81,69099985,English,Yes,Warner Music,Frances Hanson,Jerry Black DDS,Katie Singh
SP107,Executive budget.,Anthony Hall,Race.,Electronic,27/02/2012,207,74,32599995,English,No,Def Jam,Trevor Peterson,Andrea Mendoza,Latoya Murray
SP108,Four wish represent.,John Smith,Thank.,Hip-Hop,25/12/2013,253,96,81872749,English,No,Universal Music,Christopher Caldwell,Billy Bates,Billy Roth
SP109,Quite while our.,Richard Robles,Choose.,Hip-Hop,08/03/2018,232,69,38415664,English,No,Universal Music,Michael Richardson,Kevin Brown,Michael Wright
SP110,After our between police.,Anthony Peterson,Believe window.,Pop,29/11/2016,207,74,52949829,English,Yes,Atlantic Records,Jessica Montoya,Ashley Nunez,Jacob Moss
